Nb global unknowns: 14064774
-----------------
grep "^|"  period.5469909.4294967294.out
| Total time   | Avg Time     |  Min time    |  Max time    | Calls  | Section
|   39818.0588 |   39818.0588 |   39818.0588 |   39818.0588 |     1  | 0_total
|       0.0759 |       0.0759 |       0.0759 |       0.0759 |     1  |   1_initialize
|      69.5791 |      69.5791 |      69.5791 |      69.5791 |     1  |   2_read_mesh
|      71.0808 |      71.0808 |      71.0808 |      71.0808 |     1  |   3_refine_mesh
|      44.6460 |      44.6460 |      44.6460 |      44.6460 |     1  |   4_initialize_fem
|   37696.8682 |   37696.8682 |   37696.8682 |   37696.8682 |     1  |   5_solve
|       0.0010 |       0.0010 |       0.0010 |       0.0010 |     1  |     5A.1_NewtonProcessNewState
|     138.3652 |     138.3652 |     138.3652 |     138.3652 |     1  |     5A.2_NewtonFirstIteration
|       0.1038 |       0.0519 |       0.0398 |       0.0640 |     2  |     5A.3_NewtonIterMonitor
|    7099.0491 |    7099.0491 |    7099.0491 |    7099.0491 |     1  |     5A.4_NewtonIterGetGradient
|   30319.8530 |   30319.8530 |   30319.8530 |   30319.8530 |     1  |     5A.5_NewtonIterFirstMult
|     139.4629 |     139.4629 |     139.4629 |     139.4629 |     1  |     5A.6_NewtonIterSecondMult
|    1908.9380 |    1908.9380 |    1908.9380 |    1908.9380 |     1  |   6_postprocess
grep "^|"  period.5469906.4294967294.out
| Total time   | Avg Time     |  Min time    |  Max time    | Calls  | Section
|   22765.6880 |   22765.6880 |   22765.6880 |   22765.6880 |     1  | 0_total
|       0.0681 |       0.0681 |       0.0681 |       0.0681 |     1  |   1_initialize
|      12.9980 |      12.9980 |      12.9980 |      12.9980 |     1  |   2_read_mesh
|     117.4028 |     117.4028 |     117.4028 |     117.4028 |     1  |   3_refine_mesh
|       0.0010 |       0.0010 |       0.0010 |       0.0010 |     1  |     3.1_sequential
|     117.3750 |     117.3750 |     117.3750 |     117.3750 |     1  |     3.2_parallel
|    3412.6499 |    3412.6499 |    3412.6499 |    3412.6499 |     1  |   4_initialize_fem
|      35.1099 |      35.1099 |      35.1099 |      35.1099 |     1  |     4.1_define_system_components
|    3377.5261 |    3377.5261 |    3377.5261 |    3377.5261 |     1  |     4.2_assembly
|   16419.9800 |   16419.9800 |   16419.9800 |   16419.9800 |     1  |   5_solve_linear_system
|    2802.5481 |    2802.5481 |    2802.5481 |    2802.5481 |     1  |   6_postprocess
| Total time   | Avg Time     |  Min time    |  Max time    | Calls  | Section
|   25830.6199 |   25830.6199 |   25830.6199 |   25830.6199 |     1  | 0_total
|       0.0618 |       0.0618 |       0.0618 |       0.0618 |     1  |   1_initialize
|      81.5420 |      81.5420 |      81.5420 |      81.5420 |     1  |   2_read_mesh
|      42.7122 |      42.7122 |      42.7122 |      42.7122 |     1  |   3_refine_mesh
|     408.1641 |     408.1641 |     408.1641 |     408.1641 |     1  |   4_initialize_fem
|   23531.3992 |   23531.3992 |   23531.3992 |   23531.3992 |     1  |   5_solve
|       0.0029 |       0.0029 |       0.0029 |       0.0029 |     1  |     5A.1_NewtonProcessNewState
|     331.5229 |     331.5229 |     331.5229 |     331.5229 |     1  |     5A.2_NewtonFirstIteration
|       0.1047 |       0.0524 |       0.0378 |       0.0669 |     2  |     5A.3_NewtonIterMonitor
|    3820.3401 |    3820.3401 |    3820.3401 |    3820.3401 |     1  |     5A.4_NewtonIterGetGradient
|   18922.7671 |   18922.7671 |   18922.7671 |   18922.7671 |     1  |     5A.5_NewtonIterFirstMult
|     456.6221 |     456.6221 |     456.6221 |     456.6221 |     1  |     5A.6_NewtonIterSecondMult
|    1766.6880 |    1766.6880 |    1766.6880 |    1766.6880 |     1  |   6_postprocess
